"Project name","Tromso herbarium code","BOLD code","Species","Family","NCBI TaxonID","NCBI corrected TaxonID","NCBI TaxonID note","Collection date","Collection month","Sample collector","Country","Sampling location","Sampling latitude","Sampling longitude","Sample age when extracted","Weight of extracted material","Extraction concentration (ng/uL)","library","read_count","Chloroplast length","Chloroplast contigs","Chloroplast coverage","nrDNA length","nrDNA contigs","nrDNA coverage"
"batch01","TROM_V_147426","TROM_V_147426_sg","Saxifraga cernua","Saxifragaceae",29769,29769,,23/08/2002,"august","Alm, Torbjorn; Iversen, Marianne","Norway","Norway, Alta, Finnmark, Seiland: Store Kufjord, Kufjordbotn, inne i dalen.",70.4124,23.1185,14,0.0212,6.4,"BMB:PH",7878532,"NA","NA","NA",8244,1,630.3
"batch01","TROM_V_162328","TROM_V_162328_sg","Saxifraga cespitosa","Saxifragaceae",102718,102718,,25/07/2000,"juli","Alm, Torbjorn; Gamst, Unni Bjerke","Norway","Norway, Alta, Finnmark, Fiskerelva/Oaggujohka: Ryggen sor for Rundvannet/ Coagesjavri.",69.87,22.7054,16,0.0185,23.1,"BMB:PI",12274906,149982,1,295.3,8047,1,795.7
"batch01","TROM_V_964258","TROM_V_964258_sg","Saxifraga cotyledon","Saxifragaceae",102720,102720,,21/05/2004,"May","Alm, Torbjorn; Gamst, Unni Bjerke","Norway","Norway, Moskenes, Nordland, Moskenesoya: ved Horseidvannet, pa vestsiden.",68.0084,13.0005,13,0.0265,40.8,"BXA:BFS",9577620,151971,1,359.4,7734,1,142
"batch01","TROM_V_965605","TROM_V_965605_sg","Saxifraga cuneifolia","Saxifragaceae",102722,102722,,17/09/2001,"September","Alm, Torbjorn; Gamst, Unni Bjerke","Norway","Norway, Tromso, Troms, Lunheim - Kroken: ved Diamantveien litt sor for krysset med Jadeveien.",69.6806,19.0606,17,0.0227,6.06,"BXA:BSP",12356150,152466,1,183.7,"NA","NA","NA"
"batch01","TROM_V_140856","TROM_V_140856_sg","Saxifraga granulata","Saxifragaceae",83409,83409,,24/06/2000,"June","Edvardsen, Hanne; Arnesen, Geir","Norway","Norway, Steigen, Nordland, Alpoya: I gammel eng ved den ytterste garden.",67.7801,14.8519,17,0.0186,15.9,"BXA:BFQ",9458240,125270,8,113.4,"NA","NA","NA"
"batch01","TROM_V_966600","TROM_V_966600_sg","Saxifraga hirculus","Saxifragaceae",159962,159962,,30/07/2011,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway","Norway, Kautokeino, Finnmark, Suolovuopmi: ved nordenden av unna Suolojavras.",69.5801,23.5475,6,0.0173,39.6,"BXA:BFP",9172696,122509,4,70.5,8885,1,392
"batch01","TROM_V_60602","TROM_V_60602_sg","Saxifraga hyperborea","Saxifragaceae",669826,669826,,05/08/1985,"August","Engelskjon, Torstein; Brochmann, Christian","Norway","Norway, Nordenskiold Land, Svalbard, M. Reindalen, Battfjellet.",78.0395,16.2687,33,0.0201,7.84,"CDM:AEW",10065082,151424,1,1275.6,"NA","NA","NA"
"batch01","TROM_V_149779","TROM_V_149779_sg","Saxifraga hypnoides","Saxifragaceae",23264,23264,,18/06/2000,"June","Alm, Torbjorn; Gamst, Unni Bjerke","Norway","Norway, Tromso, Troms, Kvaloya, mellom utlopet av Storelva og Keipneset, vest for garden Strand.",69.684,18.8124,18,0.0167,55.8,"BXA:BDP",10833488,149804,1,417.3,"NA","NA","NA"
"batch01","TROM_V_135932","TROM_V_135932_sg","Saxifraga nathorstii","Saxifragaceae",1443523,1443523,,08/07/1982,"July","Bay, Christian; Fredskild, Bent","Greenland","Greenland, N. Jameson Land, Schuchert Dal, N. of Major Paars Dal.",71.5333,-24.35,35,0.0452,22.4,"BXA:CKR",8109226,152013,1,40.3,6356,1,70.7
"batch01","TROM_V_962908","TROM_V_962908_sg","Saxifraga oppositifolia","Saxifragaceae",29771,29771,,04/09/2008,"september","Alm, Torbjorn; Often, Anders","Norway","Norway, Ibestad, Troms, Andorja: arbostad, i lia ovenfor veienden.",68.9196,17.3809,8,0.0321,38.4,"BMB:AC",10255398,151515,1,145.5,6470,1,103.8
