DB_ID,SAMPLE_ENA_AC,Sample_ID,Project_name,Submission_Batch_Name,Scientific_Name,Taxon_family,NCBI_ID,Herbarium_voucher,Plant_developmental_stage,Sampling_Collector,Sampling_Organisation,Sampling_date,Sampling_location,Sampling_location_x,Sampling_location_y,Extraction_code,Extract_weight_(mg),Extract_concentration,Sequencing_date,Sequencing_organization,Sequencing_ID
CLA003046,ERS8751827,3046,PhyloAlps-clades,Orthoskim,Androsace idahoensis (Douglass M.Hend.) Cubey,Primulaceae,229466,ID101353,herbarium sample,Michael Mancuso,Museum - University of Idaho,2006-07-07,"Idaho (USA), Boise National Forest, northerly aspect just below ridgecrest.",-115.741806,44.305361,S0836,21,8.87,2017-11-08,Genoscope,BGN_NMV
CLA007175,ERS8751835,7175,PhyloAlps-clades,Orthoskim,Primula apennina Widmer,Primulaceae,184172,GR003903,living plant material,"Jan Smyčka, Jana Pilatova, Monika Kolarova
",Laboratoire d'Ecologie Alpine (LECA UMR 5553),2016-08-18,Northern slope under summit of Orsaro,9.9912025,44.4101178,S0867,19,17.1,2017-02-16,Genoscope,BGN_MQE
CLA007187,ERS8751840,7187,PhyloAlps-clades,Orthoskim,Primula carniolica Jacq.,Primulaceae,184180,,living plant material,"Jan Smyčka, Marie Smyckova, Doubravka Pozarova",Laboratoire d'Ecologie Alpine (LECA UMR 5553),2016-07-01,Slovenia (SVN) . Rocks on banks of Divlje jezero.,14.0277525,45.9821922,S0868,23,18.1,2018-01-31,Genoscope,BGN_MQF
CLA007193,ERS8751844,7193,PhyloAlps-clades,Orthoskim,Primula deorum Velen.,Primulaceae,175056,GR003926,living plant material,"Jan Smyčka, Marie Smyckova, Doubravka Pozarova",Laboratoire d'Ecologie Alpine (LECA UMR 5553),2016-07-11,"by Dolnoto jezero, in the outlet under krummholz",23.326155,42.21262,S0870,21,13.3,2017-02-16,Genoscope,BGN_MQH
CLA007222,ERS8751852,7222,PhyloAlps-clades,Orthoskim,Primula kitaibeliana Schott,Primulaceae,184184,GR003915,living plant material,"Jan Smyčka, Marie Smyckova, Doubravka Pozarova",Laboratoire d'Ecologie Alpine (LECA UMR 5553),2016-07-02,Velebit (HR). 2 m under summit of Rujicin Kuk,15.1177117,44.56555,S0872,19,4.32,2017-11-08,Genoscope,BGN_NND
CLA008771,ERS8751856,8771,PhyloAlps-clades,Orthoskim,Soldanella carpatica Vierh.,Primulaceae,152119,,living plant material,Tomas Figura,"Charles University, Prague",2016-08-25,"Slovakia (SK). Siroke sedlo, Belianske Tatry.",20.21625,49.2407,S0905,18,10.8,2017-07-04,Genoscope,BGN_MRK
CLA010110,ERS8751863,10110,PhyloAlps-clades,Orthoskim,Soldanella alpina L.,Primulaceae,66308,ES8/5,living plant material,"Marek Slovak, Anna Guttova, Jaromir Kucera","Institute of Botany, Bratislava",2016,"Spain (ES), Western Pyrenees Mts., 1607 m.",-0.8046,42.9551,S0940,17,12,2017-07-04,Genoscope,BGN_MSK
CLA010117,ERS8751870,10117,PhyloAlps-clades,Orthoskim,Soldanella alpina L. subsp. cantabrica Kress.,Primulaceae,1924223,ES2/7,living plant material,"Marek Slovak, Anna Guttova, Jaromir Kucera","Institute of Botany, Bratislava",2016,"Spain (ES), Cordillera Cantabrica Mts., near Castro Valnera Mt., 1347 m.",-3.6541,43.1705,S1320,12,11,2017-12,Fasteris,GWM:1243
CLA010120,ERS8751876,10120,PhyloAlps-clades,Orthoskim,Soldanella angusta Li Bing Zhang,Primulaceae,152117,SK24/4,living plant material,Milan Valachovic,"Institute of Botany, Bratislava",2016,"Slovakia (SK), Vihorlatske vrchy Mts., Vihorlat Mt.,",22.1147,48.8922,S0945,5,56,2017-07-04,Genoscope,BGN_MSQ
CLA010124,ERS8751882,10124,PhyloAlps-clades,Orthoskim,Soldanella calabrella Kress,Primulaceae,152118,IT14/3,living plant material,Nicodemo Passalacqua,NA,2016,"Italy (IT), Sila Mts., along the road from M. Scuro village and M. Botte Donato village, 1763 m.",16.261,39.1721,S0947,11,38.6,2017-07-04,Genoscope,BGN_MSS
CLA010132,ERS8751889,10132,PhyloAlps-clades,Orthoskim,Soldanella chrysosticta Kress,Primulaceae,152120,BG4/9,living plant material,Marek Slovak,"Institute of Botany, Bratislava",2016,"Bulgaria (BG), Pirin Mts., on the way of the Banska village to the top of the Vihren Mt., 1912 m.",23.364,41.7745,S1323,3,20.4,2017-12,Fasteris,GWM:1245
CLA010150,ERS8751896,10150,PhyloAlps-clades,Orthoskim,Soldanella marmarossiensis Klast.,Primulaceae,152123,UA3/9,living plant material,"Eliska Stubnova, Iva Hodalova, Milan Valachovic",NA,2016,"Ukraine (UKR), Chornohora Mts., north slope of the Hutyn Tomnatyk Mt, 1750 m.",24.5554,48.0998,S0960,8,29.9,2017-07-04,Genoscope,BGN_MTK
FAM005627,ERS8751902,5627,PhyloAlps-outgroups,Orthoskim,Marcgravia sp.,Marcgraviaceae,1927906,,living plant material,Sébastien Lavergne,"Vascular plants collection MNHN, Paris",2015-10-05,Paris (FR). Muséum national d'Histoire naturelle. Jardin des Plantes.,NA,NA,52_D04,18,22.7,2017-02-16,Genoscope,BGN_MGS
PHA000447,ERS8751908,447,PhyloAlps,Orthoskim,Anagallis arvensis L.,Primulaceae,4337,GR004061,living plant material,Adrian Möhl,Info Flora,2009-09-07,Canton d'Argovie (CH). Klingnau. Bahnhof.,8.25670686273146,47.578728491448,06_G03,18,12.04,2014-10-01,Genoscope,BGN_NS
PHA000451,ERS8751915,451,PhyloAlps,Orthoskim,Anagallis minima (L.) E.H.L. Krause,Primulaceae,306292,,living plant material,Adrian Möhl,Info Flora,2012-08-03,Canton d'Argovie (CH). Boniswil. Untermoos.,8.19891484667355,47.3193664800353,42_H08,15,33.84,2016-01-14,Genoscope,BGN_IRD
PHA000453,ERS8751920,453,PhyloAlps,Orthoskim,Anagallis tenella (L.) L.,Primulaceae,85162,GR004190,living plant material,Adrian Möhl,Info Flora,2010-09-19,Canton de Vaud (CH). Lausanne. Jardin botanique. ,6.62426437524877,46.5148938418931,06_H03,14,10.68,2014-10-01,Genoscope,BGN_NT
PHA000470,ERS8751927,470,PhyloAlps,Orthoskim,Andromeda polifolia L.,Ericaceae,95630,GR004010,living plant material,Stefan Eggenberg,Info Flora,2009-06-16,Canton de Berne (CH). Thun District. Innereriz,7.83942909,46.7938641,03_B10,20,8.56,2013,BGI,RSZ:RSZAXPI001349-74
