DB_ID,SAMPLE_ENA_AC,Sample_ID,Project_name,Submission_Batch_Name,Scientific_Name,Taxon_family,NCBI_ID,Herbarium_voucher,Plant_developmental_stage,Sampling_Collector,Sampling_Organisation,Sampling_date,Sampling_location,Sampling_location_x,Sampling_location_y,Extraction_code,Extract_weight_(mg),Extract_concentration,Sequencing_date,Sequencing_organization,Sequencing_ID
PHA007245,ERS8752137,7245,PhyloAlps,Orthoskim,Primula veris L.,Primulaceae,229532,GR002846,living plant material,Sébastien Lavergne,"Laboratoire d'Ecologie Alpine (LECA UMR 5553), Station Alpine Joseph Fourier (UMS 3370)",2009-05-04,Isère (FR). Gières. Campus universitaire. LECA,5.77719387687978,45.1933525663297,04_A11,17,16.92,2014-10-29,Genoscope,BGN_HP
PHA007247,ERS8752140,7247,PhyloAlps,Orthoskim,Primula villosa Wulfen,Primulaceae,184189,GR002196,living plant material,Sonia Latzin,"Swiss Federal Institute for Forest, Snow and Landscape Research (WSL)",2009-07-15,Steiermark (AT). Politischer Bezirk Murtal. Triebental,14.54267,47.35989,06_G02,19,8.6,2014-10-01,Genoscope,BGN_NM
PHA007377,ERS8752149,7377,PhyloAlps,Orthoskim,Pyrola chlorantha Swartz,Ericaceae,93824,GR003960,living plant material,Adrian Möhl,Info Flora,2009-08-11,Canton des Grisons (CH). Zernez. Prasüra.,10.1115761232095,46.6895036715627,03_G12,21,9.64,2013,BGI,RSZ:RSZAXPI001153-43
PHA007378,ERS8752156,7378,PhyloAlps,Orthoskim,Pyrola media Sw.,Ericaceae,642534,,living plant material,Alexis Mikolajczak ,Conservatoire Botanique National Alpin (CBNA),2009-07-13,NA,NA,NA,03_E07,20,22.64,2013,BGI,RSZ:RSZAXPI000961-101
PHA007382,ERS8752167,7382,PhyloAlps,Orthoskim,Pyrola minor L.,Ericaceae,93826,GR004553,living plant material,Adrian Möhl,Info Flora,2009-08-11,Canton des Grisons (CH). Zernez. Prasüra.,10.1115761232095,46.6895036715627,04_D07,19,16.36,2013,BGI,RSZ:RSZAXPI000819-89
PHA007385,ERS8752175,7385,PhyloAlps,Orthoskim,Pyrola rotundifolia L.,Ericaceae,13651,GR003749,living plant material,Stefan Eggenberg,Info Flora,2009-07-20,Canton de Berne (CH). Obersimmental-Saanen District. Lenk im Simmental,7.44904526,46.403258,04_A01,20,7.04,2013,BGI,RSZ:RSZAXPI000824-16
PHA007604,ERS8752183,7604,PhyloAlps,Orthoskim,Rhododendron ferrugineum L.,Ericaceae,49622,GR001317,living plant material,"Laboratoire d'Ecologie Alpine (LECA UMR 5553), Station Alpine Joseph Fourier (UMS 3370)","Laboratoire d'Ecologie Alpine (LECA UMR 5553), Station Alpine Joseph Fourier (UMS 3370)",2009-07-04,Hautes-Alpes (FR). Villard-d'Arène. Col du Lautaret.,6.40837733070351,45.0326204231669,03_A06,20,16.4,2013,BGI,RSZ:RSZAXPI000954-94
PHA007607,ERS8752188,7607,PhyloAlps,Orthoskim,Rhododendron hirsutum L.,Ericaceae,516007,GR003826,living plant material,Stefan Eggenberg,Info Flora,2009-06-05,"Canton de Berne (CH), Kandersteg, Stock",7.64787336507842,46.4574054825335,04_C01,20,5.28,2014-11-27,Genoscope,BGN_HD
PHA007610,ERS8752195,7610,PhyloAlps,Orthoskim,Rhododendron luteum Sweet,Ericaceae,49467,,living plant material,Sonia Latzin,"Swiss Federal Institute for Forest, Snow and Landscape Research (WSL)",2011-05-03,"Wien (AT). Politischer Bezirk Wien (Stadt). Wien, Landstraße",16.3841,48.19347,37_A11,21,9.8,2015-12-02,Genoscope,BGN_HLB
PHA007614,ERS8752202,7614,PhyloAlps,Orthoskim,Rhodothamnus chamaecistus (L.) Rchb.,Ericaceae,45907,GR004342,living plant material,Adrian Möhl,Info Flora,2010-08-04,"Dolomites (IT). Lagozuoi, Col du Bos.",12.064176,46.545698,04_F07,20,8.32,2013,BGI,RSZ:RSZAXPI000820-90
PHA007921,ERS8752208,7921,PhyloAlps,Orthoskim,Samolus valerandi L.,Primulaceae,59985,,living plant material,Jérémie Van Es,Conservatoire Botanique National Alpin (CBNA),2010-09-10,Hautes-Alpes (FR). Monêtier-Allemont. ,5.957983,44.39727,05_C10,18,4.8,2014-10-01,Genoscope,BGN_MF
PHA009300,ERS8752215,9300,PhyloAlps,Orthoskim,Lysimachia europaea (L.) U.Manns & Anderb.,Primulaceae,59991,GR004469,living plant material,Adrian Möhl,Info Flora,2010-07-04,Canton des Grisons (CH). Cavaglio. Cavaligliola.,10.0463886814162,46.3511201478274,06_G11,9,5.24,2014-10-01,Genoscope,BGN_QT
PHA009498,ERS8752222,9498,PhyloAlps,Orthoskim,Vaccinium uliginosum L.,Ericaceae,1395552,GR001763,living plant material,"Laboratoire d'Ecologie Alpine (LECA UMR 5553), Station Alpine Joseph Fourier (UMS 3370)","Laboratoire d'Ecologie Alpine (LECA UMR 5553), Station Alpine Joseph Fourier (UMS 3370)",2009-07-04,Hautes-Alpes (FR). Villard-d'Arène. Col du Lautaret.,6.40837733070351,45.0326204231669,27_G07,19,11.4,2015-03-19,Genoscope,BGN_EAP
PHA009500,ERS8752228,9500,PhyloAlps,Orthoskim,Vaccinium microcarpum (Turcz. ex Rupr.) Schmalh.,Ericaceae,669730,,living plant material,Adrian Möhl,Info Flora,2009-07-22,Canton de Lucerne (CH). Escholzmatt. Unterhalb Salwideli.,7.99596122917262,46.8217550586403,46_D12,13,11.4,2016-01-27,Genoscope,BGN_KTN
PHA009504,ERS8752234,9504,PhyloAlps,Orthoskim,Vaccinium oxycoccos L.,Ericaceae,516948,GR004051,living plant material,Stefan Eggenberg,Info Flora,2009-06-16,Canton de Berne (CH). Thun District. Innereriz,7.83942909,46.7938641,15_A07,17,5.52,2016-07-28,Genoscope,BGN_LTC
PHA009507,ERS8752241,9507,PhyloAlps,Orthoskim,Vaccinium vitis-idaea L.,Ericaceae,180772,GR000589,living plant material,"Laboratoire d'Ecologie Alpine (LECA UMR 5553), Station Alpine Joseph Fourier (UMS 3370)","Laboratoire d'Ecologie Alpine (LECA UMR 5553), Station Alpine Joseph Fourier (UMS 3370)",2009-06-02,Isère (FR). Vaulnaveys-le-Bas. Lac Luitel.,5.84882686068888,45.0899025553384,03_D03,15,24.2,2013,BGI,RSZ:RSZAXPI000939-53
PHA010070,ERS8752247,10070,PhyloAlps,Orthoskim,Vaccinium myrtillus L.,Ericaceae,180763,GR004688,living plant material,Adrian Möhl,Info Flora,2009-08-05,"Canton de Berne (CH), Brienz, Axalp, Hinterburgseeli",8.06616270029608,46.719521037444,S0119,23,11.2,2016-06-30,Genoscope,BGN_LQB
PHA010691,ERS8752253,10691,PhyloAlps,Orthoskim,"Androsace delphinensis Dentant, Lavergne, F.C. Boucher & S. Ibanez",Primulaceae,2887336,,living plant material,"Cédric Dentant, Sébastien Ibanez",Parc National des Ecrins,NA,"Barre des Ecrins, Pilier Sud, 3260m",6.3626445,44.9201664,53_E01,19.5,24.2,2019-12-10,Genoscope,BGN_PXJ
PHP010511,ERS8752260,10511,PhyloAlps-Pyrenees,Orthoskim,Daboecia cantabrica (Huds.) K. Koch,Ericaceae,13479,,living plant material,NA,PhyloAlps project,2016-10-31,NA,NA,NA,S1272,20,4.12,2019-12-10,Genoscope,BGN_PWH
PHT010327,ERS8752263,10327,PhyloAlps-Toulouse,Orthoskim,Arbutus unedo L.,Ericaceae,84005,,living plant material,University of Toulouse,University of Toulouse,NA,NA,NA,NA,ARB-TLS1,,2.71,2017-07-19,Genoscope,BGN_PFK
