"Project_name","Tromso_herbarium_code","BOLD_code","Species","Family","NCBI_TaxonID","NCBI_corrected_TaxonID","NCBI_TaxonID_note","Collection_date","Collection_month","Sample_collector","Sampling_location","Sampling_latitude","Sampling_longitude","Sample_age_when_extracted","Weight_of_extracted_material","Extraction_concentration_(ng/uL)","library","read_count","Chloroplast_length","Chloroplast_contigs","Chloroplast_coverage","nrDNA_length","nrDNA_contigs","nrDNA_coverage","CORRECTION","CORRECTION_COMMENT"
"batch01","TROM_V_200754","PNOR241-16","Huperzia appressa","Lycopodiaceae",380485,380485,,2004-07-04,"July","Alsos, Inger Greve; Tribsch, Andreas","Russian Federation, Yamalo-Nenets Autonomous Okrug, [Russia] Yamalo-Nenetsky Autonomous Okrug, Polar Ural, Massiv Rayiz: Black mountains (Chernaya mountains), slope to river Enga-Yu.",66.8378,65.4528,13,0.022,43.6,"BXA:ASS",9344664,315985,1,42.2,8938,1,44.2,0,
"batch01","TROM_V_200479","PNOR896-17","Silene pauciflora","Caryophyllaceae",669834,669834,,2004-07-04,"July","Alsos, Inger Greve; Tribsch, Andreas","Russian Federation, Yamalo-Nenets Autonomous Okrug, [Russia] Yamalo-Nenetsky Autonimous Okrug, Polar Ural, Massiv Rayiz: Black mountains (Chernaya mountains), slope to river Enga-Yu.",66.8378,65.4528,13,0.0148,120,"BXA:CJO",7120806,136651,86,126.4,6315,1,22.4,0,
"batch01","TROM_V_200478","PNOR890-17","Tofieldia coccinea","Tofieldiaceae",284478,284478,,2004-07-04,"July","Alsos, Inger Greve; Tribsch, Andreas","Russian Federation, Yamalo-Nenets Autonomous Okrug, [Russia] Yamalo-Nenetsky Autonimous Okrug, Polar Ural, Massiv Rayiz: Black mountains (Chernaya mountains), slope to river Enga-Yu.",66.8378,65.4528,13,0.0291,46.8,"BXA:CME",6579034,158373,1,140.2,9124,1,336.5,0,
"batch01","TROM_V_200615","PNOR1222-17","Hippuris vulgaris","Plantaginaceae",39321,39321,,2004-07-04,"July","Westergaard, Kristine","Greenland, Saqqaq.",70.0103,-51.9581,13,0.0532,73.6,"CDM:AKW",8291242,152765,1,290.1,6511,1,319.3,0,
"batch01","TROM_V_200628","PNOR1224-17","Salix uva-ursi","Salicaceae",669821,669821,,2004-07-05,"July","Westergaard, Kristine","Greenland, Saqqaq.",70.0103,-51.9581,13,0.0299,37,"BXA:CEC",8471584,155626,1,61.6,8394,1,524.6,0,
"batch01","TROM_V_201225","PNOR174-16","Pedicularis oederi","Orobanchaceae",326839,326839,,2004-07-06,"July","Alsos, Inger Greve; Tribsch, Andreas","Russian Federation, Yamalo-Nenets Autonomous Okrug, [Russia] Yamalo-Nenetsky Autonomous Okrug, Polar Ural: Slantzevaga mountain, west and east of the stream Senka-Shor, ca. 15 km N of Kharp, 300-400 m (Itinerary number: Ural-04-27).",66.9219,65.7958,14,0.0562,14.6,"BXA:BBI",14530692,153779,1,403.9,"NA","NA","NA",0,
"batch01","TROM_V_200484","PNOR882-17","Erigeron acris","Asteraceae",91246,91246,,2004-07-06,"July","Alsos, Inger Greve; Tribsch, Andreas","Russian Federation, Yamalo-Nenets Autonomous Okrug, [Russia] Yamalo-Nenetsky Autonimous Okrug, Polar Ural: Slantzevaga mountain, riverbank of river Sob, Krasny Kamen railway station, ca. 12 km NNW from Kharp.",66.9069,65.7289,14,0.018,98.8,"CDM:ANB",7821272,128348,6,79.8,9500,1,324.5,0,
"batch01","TROM_V_89470","PNOR1545-18","Luzula sudetica","Juncaceae",223705,223705,,2004-07-06,"July","Bjerke, Jarle W.","Norway, Andoya E, Nordelva, 200 m SE of Torddalselva.",69.1933,16.0103,14,0.0182,4.63,"CDM:APG",10020894,"NA","NA","NA",7402,1,474.3,0,
"batch01","TROM_V_200490","PNOR887-17","Saxifraga spinulosa","Saxifragaceae",1385505,1385505,,2004-07-06,"July","Alsos, Inger Greve; Tribsch, Andreas","Russian Federation, Yamalo-Nenets Autonomous Okrug, [Russia] Yamalo-Nenetsky Autonimous Okrug, Polar Ural, Massiv Rayiz. Black mountains, valley of river Enga-Yu, E Chernaya mountains, ca. 13 km W Kharp.",68.8408,65.5,13,0.0415,21.6,"BXA:CCV",10052992,152651,1,142.9,7435,1,342.6,0,
"batch01","TROM_V_89477","NNOR2043-16","Sparganium hyperboreum","Typhaceae",669839,669839,,2004-07-07,"July","Bjerke, Jarle W.","Norway, Andoy, Nordland, Andoya E, western part of Storelva.",69.2342,16.0703,12,0.0421,46,"BMB:KC",7732594,"NA","NA","NA",6788,1,385.6,0,
